P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_ESI,P_SEMI_MAJOR_AXIS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_RADIUS,P_MASS,P_DENSITY,P_GRAVITY,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_TEMPERATURE,S_LUMINOSITY,S_TYPE_TEMP,S_TIDAL_LOCK
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.26044049,0.0657,7.493134,0,29.91364,2.76,13.2,0.62783668,1.7328292,595.75408,595.75408,672.81062,672.81062,4227,0.12912193,K,0.43192361
HD 28109 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.20694534,0.308,56.00819,0.1203,30.34339,4.23,7.943,0.10494541,0.4439191,563.84169,636.29287,636.77059,718.59281,6120,2.8575905,F,0.39256701
TOI-238 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,0.28487692,0.02118,1.2730991,0.18,766.12592,1.402,3.4,1.2337719,1.7297482,1228.6996,1473.94,1387.6232,1664.5836,5059,0.33806484,K,0.4217081
TOI-1470 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.27249568,0.0285,2.527093,0.3,48.505343,2.18,7.32,0.70654788,1.5402744,582.7142,794.1056,658.08413,896.81749,3709,0.03758374,M,0.29056815
V1298 Tau b,Transit,K2,2019,0.11439136,0.1688,24.1396,0.29,35.021205,10.27,203.41018,0.1877852,1.928554,539.65802,727.41845,609.45893,821.50484,5050,0.95499259,K,0.19692931
WASP-70 A b,Transit,SuperWASP,2014,0.070202469,0.04853,3.7130203,0,616.56578,13.047,187.512,0.084430056,1.1015589,1269.3885,1269.3885,1433.5749,1433.5749,5763,1.4521116,G,0.53903848
HAT-P-18 b,Transit,HATNet,2010,0.090927687,0.0559,5.508023,0.084,86.639115,11.153,62.61,0.045130339,0.50333867,745.81165,811.32726,842.27707,916.26665,4803,0.26977394,K,0.49883704
HD 86226 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.24944255,0.049,3.98442,0.075,492.98391,2.16,7.25,0.71941047,1.5539266,1156.9043,1247.1848,1306.5416,1408.4992,5863,1.1803206,G,0.46439179
HATS-6 b,Transit,HATSouth,2015,0.095913301,0.03623,3.3252725,0,60.515041,11.187,101.38777,0.072417688,0.81013668,710.50239,710.50239,802.4008,802.4008,3724,0.079432823,M,0.42033668
K2-107 b,Transit,K2,2017,0.057873065,0.0475,3.313959,0,1290.0685,15.98,266.9772,0.065425018,1.0454918,1526.6972,1526.6972,1724.1646,1724.1646,6061,2.9107171,F,0.49690204
